Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,40.000000,40.000000,40.000000,40.000000,30.010853,0
2015-01-05,40.549999,40.549999,40.549999,40.549999,30.423498,1800
2015-01-06,40.549999,40.549999,40.549999,40.549999,30.423498,0
2015-01-07,40.549999,40.549999,40.549999,40.549999,30.423498,0
2015-01-08,40.549999,40.549999,40.549999,40.549999,30.423498,0
2015-01-09,40.549999,40.549999,40.549999,40.549999,30.423498,0
2015-01-12,40.549999,40.549999,40.549999,40.549999,30.423498,0
2015-01-13,40.549999,40.549999,40.549999,40.549999,30.423498,0
2015-01-14,40.549999,40.549999,40.549999,40.549999,30.423498,0
2015-01-15,39.150002,39.150002,39.150002,39.150002,29.373123,1900
2015-01-16,39.150002,39.150002,39.150002,39.150002,29.373123,0
2015-01-19,39.150002,39.150002,39.150002,39.150002,29.373123,0
2015-01-20,38.900002,38.900002,38.900002,38.900002,29.185555,2100
2015-01-21,38.900002,38.900002,38.900002,38.900002,29.185555,0
2015-01-22,38.900002,38.900002,38.900002,38.900002,29.185555,0
2015-01-23,38.900002,38.900002,38.900002,38.900002,29.185555,0
2015-01-26,38.900002,38.900002,38.900002,38.900002,29.185555,0
2015-01-27,38.900002,38.900002,38.900002,38.900002,29.185555,0
2015-01-28,38.900002,38.900002,38.900002,38.900002,29.522924,0
2015-01-29,38.900002,38.900002,38.900002,38.900002,29.522924,0
2015-01-30,38.900002,38.900002,38.900002,38.900002,29.522924,0
2015-02-02,38.900002,38.900002,38.900002,38.900002,29.522924,0
2015-02-03,43.000000,43.000000,43.000000,43.000000,32.634602,5600
2015-02-04,43.000000,43.000000,43.000000,43.000000,32.634602,0
2015-02-05,43.000000,43.000000,43.000000,43.000000,32.634602,0
2015-02-06,43.000000,43.000000,43.000000,43.000000,32.634602,0
2015-02-09,43.000000,43.000000,43.000000,43.000000,32.634602,0
2015-02-10,43.000000,43.000000,43.000000,43.000000,32.634602,0
2015-02-11,43.000000,43.000000,43.000000,43.000000,32.634602,0
2015-02-12,46.700001,46.700001,46.700001,46.700001,35.442696,1100
2015-02-13,46.700001,46.700001,46.700001,46.700001,35.442696,0
2015-02-18,46.700001,46.700001,46.700001,46.700001,35.442696,0
2015-02-19,46.700001,46.700001,46.700001,46.700001,35.442696,0
2015-02-20,46.700001,46.700001,46.700001,46.700001,35.442696,0
2015-02-23,47.520000,47.520000,47.520000,47.520000,36.065029,900
2015-02-24,47.520000,47.520000,47.520000,47.520000,36.065029,0
2015-02-25,47.520000,47.520000,47.520000,47.520000,36.065029,0
2015-02-26,47.520000,47.520000,47.520000,47.520000,36.065029,0
2015-02-27,47.520000,47.520000,47.520000,47.520000,36.065029,0
2015-03-02,47.520000,47.520000,47.520000,47.520000,36.065029,0
2015-03-03,47.520000,47.520000,47.520000,47.520000,36.065029,0
2015-03-04,47.520000,47.520000,47.520000,47.520000,36.065029,0
2015-03-05,47.520000,47.520000,47.520000,47.520000,36.065029,0
2015-03-06,49.119999,49.119999,49.119999,49.119999,37.279327,1000
2015-03-09,49.119999,49.119999,49.119999,49.119999,37.279327,0
2015-03-10,49.119999,49.119999,49.119999,49.119999,37.279327,0
2015-03-11,50.000000,50.000000,49.450001,49.450001,37.529789,5100
2015-03-12,49.450001,49.450001,49.450001,49.450001,37.529789,0
2015-03-13,49.450001,49.450001,49.450001,49.450001,37.529789,0
2015-03-16,52.250000,52.250000,52.250000,52.250000,39.654839,200
2015-03-17,52.250000,52.250000,52.250000,52.250000,39.654839,0
2015-03-18,52.349998,52.349998,52.349998,52.349998,39.730717,1400
2015-03-19,52.349998,52.349998,52.349998,52.349998,39.730717,0
2015-03-20,52.349998,52.349998,52.349998,52.349998,39.730717,0
2015-03-23,52.349998,52.349998,52.349998,52.349998,39.730717,0
2015-03-24,52.349998,52.349998,52.349998,52.349998,39.730717,0
2015-03-25,52.349998,52.349998,52.349998,52.349998,39.730717,0
2015-03-26,51.549999,51.549999,51.549999,51.549999,39.123566,600
2015-03-27,51.549999,51.549999,51.549999,51.549999,39.123566,0
2015-03-30,51.549999,51.549999,51.549999,51.549999,39.123566,0
2015-03-31,51.549999,51.549999,51.549999,51.549999,39.123566,0
2015-04-01,50.150002,50.150002,50.150002,50.150002,38.061050,400
2015-04-02,50.150002,50.150002,50.150002,50.150002,38.061050,0
2015-04-06,50.150002,50.150002,50.150002,50.150002,38.061050,0
2015-04-07,50.150002,50.150002,50.150002,50.150002,38.061050,0
2015-04-08,50.150002,50.150002,50.150002,50.150002,38.061050,0
2015-04-09,50.150002,50.150002,50.150002,50.150002,38.061050,0
2015-04-10,50.150002,50.150002,50.150002,50.150002,38.061050,0
2015-04-13,50.150002,50.150002,50.150002,50.150002,38.061050,0
2015-04-14,49.189999,49.189999,49.189999,49.189999,37.332455,200
2015-04-15,49.189999,49.189999,49.189999,49.189999,37.332455,0
2015-04-16,49.189999,49.189999,49.189999,49.189999,37.332455,0
2015-04-17,49.189999,49.189999,49.189999,49.189999,37.332455,0
2015-04-20,49.189999,49.189999,49.189999,49.189999,37.332455,0
2015-04-22,49.189999,49.189999,49.189999,49.189999,37.332455,0
2015-04-23,49.189999,49.189999,49.189999,49.189999,37.332455,0
2015-04-24,49.189999,49.189999,49.189999,49.189999,37.332455,0
2015-04-27,49.189999,49.189999,49.189999,49.189999,37.332455,0
2015-04-28,49.189999,49.189999,49.189999,49.189999,37.332455,0
2015-04-29,47.000000,47.000000,47.000000,47.000000,36.018421,3300
2015-04-30,47.000000,47.000000,47.000000,47.000000,36.018421,0
